date_received,product,subproduct,issue,subissue,consumer_complaint_narrative,company_public_response,company_name,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
10/16/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit repair services,Fraud or scam,,,,ERC,,,,,Phone,10/19/2020,Closed with explanation,TRUE,,3903929
10/24/2014,Credit reporting,,Incorrect information on credit report,Account terms,,,ERC,LA,70816,"Older American, Servicemember",,Web,10/29/2014,Closed with non-monetary relief,TRUE,FALSE,1085252
3/14/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,ERC,AL,35242,,,Web,3/20/2015,Closed with non-monetary relief,TRUE,FALSE,1283279
7/13/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"During my time as an employee for XXXX, I was encouraged to open a Dealer or Concession line as my business contact number. I successfully opened an account and paid monthly according to my contract. Unfortunately that phone was stolen/lost by a fellow employee and I had documentation from XXXX to verify, it was ultimately reported as lost to the company and my superiors in a timely manner. I was told by my manager to open another line, as I would n't be eligible for employee discounts if I fully cancelled my original account for 3 to 6 months. I was instructed to use my social security number to open another type of employee discount account and did so without issue. I used this new account until I parted ways with the company. I was informed that all employee accounts would be terminated upon my leaving and that all devices had to be returned. I left my phone at my store location with my manager and called into employee care to verify the information he had given me, which they did. 

Nearly a year later I requested a credit check and saw that I had been sent to collections over a debt with XXXX. When I called in to see where the debt had originated I was bounced back and forth between XXXX and XXXX as neither said they could help me ; XXXX XXXX because I was a consumer, and XXXX because I had been an employee for the duration of my account. 

My current position allowed me to open an employee line with XXXX although they are NOT my employer, and I used this opportunity to begin a dialogue with someone who could possibly work on clearing up this debt from within the company. After weeks of telephone and email correspondence with the gentleman, I was offered the ability to pay off the debt and then be immediately reimbursed the money if I opened another account with XXXX. I felt immensely pressured to take the offer to save my credit but ultimately decided to pass, as I was n't comfortable being forced into signing another binding contract with the company to erase a debt that should never have occurred. 

Throughout the duration of this, going on two years, I have been called repeatedly by multiple Debt Collection Agencies each time the "" debt '' is sold off to a new company. I 've been called at work, late in the evening, inappropriately early in the mornings, and now XXXX prompting me to submit a complaint XXXX a NEW company has begun calling my family members in other states.",Company believes it acted appropriately as authorized by contract or law,ERC,CO,80916,,Consent provided,Web,7/13/2015,Closed with non-monetary relief,TRUE,FALSE,1465916
9/21/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,KY,41008.0,,Consent not provided,Web,9/21/2018,Closed with explanation,TRUE,,3025580
4/1/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,DC,20032,,Consent not provided,Web,4/6/2015,Closed with non-monetary relief,TRUE,FALSE,1310351
12/14/2019,Debt collection,I do not know,Attempts to collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77087,Servicemember,Consent not provided,Web,12/14/2019,Closed with explanation,TRUE,,3468169
1/3/2023,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,GA,30253.0,Servicemember,Consent not provided,Web,1/3/2023,Closed with explanation,TRUE,,6393457
3/15/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,CA,92078.0,,,Web,3/15/2015,Closed with non-monetary relief,TRUE,FALSE,1283453
4/30/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"I have been monitoring my credit weekly for 2 years now and have discovered that ERC, a third-party debt buyer, has reported a {$59.00} derogatory collection on my credit reports. I was never given any notice of the debt due ... never given a chance to dispute the issue within the 30 day period, which is required by law and a violation of my consumer rights under the FCRA. 
I am writing to obtain validation that the company has a right to collect this money from me. Thus, ERC indicates that XXXX XXXX is the original creditor ; however, I never owed XXXX XXXX any money. When I moved from XXXX, I returned the equipment to the XXXX office and paid the amount that XXXX XXXX said that I owed to close the account and pay the balance in full. This was done in XXXX 2015. Furthermore, around XXXX 2015, I received a 'refund ' from XXXX XXXX of {$44.00}. 
Again, I need validation of this debt from ERC. What was the original amount of the debt? What was the original account number and date of original debt? MORE IMPORTANTLY, please tell me why you believe that you have a right to collect this debt? Please provide verification and "" documentation '' that there is a valid basis for claiming that I am required to pay the debt to this current creditor. For example, can you provide a copy of the written agreement that created my original requirement to pay? Also, a copy of the last billing statement from the original creditor is required.",Company believes it acted appropriately as authorized by contract or law,ERC,CA,92008,,Consent provided,Web,5/5/2016,Closed with non-monetary relief,TRUE,TRUE,1903865
11/15/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,FL,33614,Older American,,Web,11/18/2014,Closed with non-monetary relief,TRUE,TRUE,1118356
3/9/2019,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"I previously had phone service with XXXX XXXX. My bill was set up on auto-pay and was taken directly from my account each month. I switched phone carriers, which resulted in a final bill, which was paid automatically on XX/XX/XXXX. I have attached documentation to reflect this information ( my XXXX account was under a previous last name of mine ). 

For some reason, XXXX has repeatedly placed the amount for this final bill ( {$1000.00} ) with multiple third party collection agencies/attorney firms. I have disputed this several times and have even received confirmation that the dispute was closed in my favor. I requested a full validation of debt from the last agency that contacted me in regards to this. I received that validation of debt documentation on XX/XX/XXXX. This documentation clearly shows my final bill and the corresponding payment, reflecting a XXXX balance owed. Not only is this causing unnecessary stress, it is now negatively impacting me. I was recently denied credit because this is reflecting on my credit report and I also had to accept a car loan with a much higher interest rate than I feel I would have qualified for. I responsibly pay all of my bills through auto-pay because I care very much about my credit rating. I am very upset that this is impacting me so negatively and I was actually really embarrassed during the car buying process when this came up. I do not know what I need to do to get it resolved.",Company believes it acted appropriately as authorized by contract or law,ERC,KY,41091.0,,Consent provided,Web,3/14/2019,Closed with explanation,TRUE,,3174523
6/13/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77063,,Consent not provided,Web,6/13/2016,Closed with non-monetary relief,TRUE,FALSE,1966476
5/12/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"Several debt collectors have called me on behalf of XXXX XXXX. The one that contacted me today was ERC. I already settled my debt with XXXX XXXX through XXXX on XX/XX/XXXX i the amount of {$180.00} which is 50 % of the total amount owed. I spoke to XXXX XXXX when I made the payment. The phone number she provided on XX/XX/XXXX was XXXX. She also provided a Ref # that I will provide upon request. XXXX who is also with XXXX, provided XXXX. When I called that number a gentleman answered and said that he would transfer me to the "" correct department '' I asked, "" What is the correct department? '' He repeated, "" I will transfer your call to the correct department. '' I held for approximately XXXX XXXX and then he disconnected the call. Then, I placed a call to XXXX XXXX to ask for a list of their legitimate authorized debt collectors, so I know which ones to report to the FTC. My call was answered by XXXX who stated that her records show that I still owe {$180.00}. I insisted that I do not owe that amount, and I settled for {$180.00} on XX/XX/XXXX. XXXX confirmed that a payment in the amount if {$180.00} was made, but that I still owe {$180.00}. After an unresolved debate, XXXX transferred my call to another representative who could not find an account to match my phone number. He answered the call in XXXX, but I assured him that I am not fluent enough in XXXX for him to take my call. He also attempted to give me instructions to dial in again, and put in a series of "" ten zeroes '' as opposed to my actual phone numbers. I stated that I am not willing to continue to follow their instructions, because I have not received a resolution for my request, nor were the seeking to honor my request, but to collect money that is no longer due to them. I informed the representative from XXXX XXXX that I would seek legal action against XXXX XXXX and all of those collecting on their behalf if I receive another phone call, because it is now harrassment.",,ERC,GA,30506.0,,Consent provided,Web,5/12/2021,Closed with explanation,TRUE,,4372086
6/25/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,TX,75227.0,,Consent not provided,Web,6/25/2021,Closed with explanation,TRUE,,4492700
11/16/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,NY,11501,,Consent not provided,Web,11/16/2016,Closed with non-monetary relief,TRUE,FALSE,2209927
7/9/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"On XX/XX/2020 I settled and paid a debt with Enhance recovery collection agency then requested that the account be removed from my credit report because Im trying to buy a house. My score dropped down 35 points because of this and Im still trying to recover from this point drop. I was told that they do not remove anything and that a manager would call me back. 

I was passed around from one agent to another and none we able to help me. As of today, I have yet to receive a call from a manager and the collection remains on my report and has a huge NEGATIVE red for the month of XXXX when this was legally paid in XXXX.",,ERC,CA,92139.0,,Consent provided,Web,7/21/2020,Closed with explanation,TRUE,,3737269
3/17/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,IL,60014,,,Web,3/17/2015,Closed with non-monetary relief,TRUE,TRUE,1287040
2/28/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,MD,20744,,Consent not provided,Web,2/28/2017,Closed with non-monetary relief,TRUE,TRUE,2364425
6/24/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,CA,90731.0,,,Web,6/24/2014,Closed with non-monetary relief,TRUE,FALSE,909213
7/24/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,It is showing on my credit report that i owe money on XXXX when i already paid everything. Infact I still have an open account on XXXX for my internet swervice and home phone service. I have ask XXXX why is this Debt showing from this company and they have told me they dont know why or how. They said they have contacted the Debt collector and told them that i dont owe any balance from them and they still didnt take it out of my credit report. I have called the Agency to show me proof of this Debt and they refuse to send me any document. This is affecting my credit big time since im trying to build my credit and purchase a house.,Company believes it acted appropriately as authorized by contract or law,ERC,CA,94560,,Consent provided,Web,7/24/2015,Closed with non-monetary relief,TRUE,TRUE,1484909
11/10/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,CA,94709.0,,Consent not provided,Web,11/10/2018,Closed with explanation,TRUE,,3071082
5/20/2019,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,Set up an payment agreement to pay and remove off of my credit report. Opened in XX/XX/XXXX closed beginning of XX/XX/XXXX.,Company believes it acted appropriately as authorized by contract or law,ERC,KY,41018.0,,Consent provided,Web,5/20/2019,Closed with explanation,TRUE,,3248051
2/27/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77535,,,Phone,3/2/2017,Closed with non-monetary relief,TRUE,FALSE,2362335
2/23/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,IL,60657,,,Web,2/23/2015,Closed with non-monetary relief,TRUE,FALSE,1253360
4/12/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"On XX/XX/2021, I contacted ERC regarding an XXXX XXXX XXXX bill that was placed in collections, ( Ref No. XXXX ). I made a settlement arrangement and made payment of that settlement on XX/XX/2021. I was also promised that my file would be updated and the collections removed. I have contacted ERC and is now being told that they were not the original collection agency who placed the account into collection and I would have to look at my credit report to find out who the agency was. I was also told i can contact XXXX XXXX XXXX. I looked at my report and did not see anything. I then decided to contact XXXX XXXX XXXX. I tried for 7 days to get to a rep that could assist me but got the run around ( we no longer have this account, you would have to check with XXXX. When get in contact with XXXX, I was told by the XXXX  rep, you have to contact XXXX XXXX XXXX as they were the original account holder ). I am now contacting the CFPB as I am at a dead end.",,ERC,FL,33556.0,,Consent provided,Web,4/12/2021,Closed with explanation,TRUE,,4292455
8/21/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Enhanced Recovery Corporation, XXXX, FL XXXX. XXXX XXXX XXXX debt for early cancellation fee. 

XXXX promised cell phone coverage at my home address. I had no cell phone signal at my home address and could not make or receive calls. After 2 years of complaining to tech support no resolution was found. I switched to XXXX after seeing a friends phone was fully operational at my home. This was explained to XXXX and they still refused to let me out of my contract. I decided to cancel my XXXX cell phone service for breach of contract to provide cell phone service to a location within the service area as shown to me on the XXXX map at time of purchase. The above was mailed to the initial debt collection agency who did not respond. I still receive a daily phone call from Enhanced Recovery via a recorded message in an attempt to collect XXXX early cancellation fee invoiced in XXXX 2010. All other monthly charges were paid in full except the cancellation fee.",Company believes it acted appropriately as authorized by contract or law,ERC,OH,45417,,Consent provided,Web,8/21/2015,Closed with non-monetary relief,TRUE,FALSE,1529896
7/30/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,FL,32907,,,Web,8/4/2014,Closed with non-monetary relief,TRUE,FALSE,961051
10/3/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,This is a debt from XXXX that has already been paid through another debt collection agency that was hired to collect on the same exact debt.,Company believes it acted appropriately as authorized by contract or law,ERC,SC,29464,,Consent provided,Web,10/5/2016,Closed with non-monetary relief,TRUE,FALSE,2140629
2/5/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,ERC,CA,94114,,,Phone,2/10/2014,Closed with non-monetary relief,TRUE,FALSE,705880
7/16/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,CA,92118,,,Web,7/16/2014,Closed with explanation,TRUE,FALSE,940219
6/9/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,I had a balance from XXXX and received a settlement letter. I paid the balance due to settle and now Enhanced Recovery has no documentation of the payment 1 year later and will not remove the balance from my credit report. I have called several times and tried to dispute but no results. I was told by the agency that the debt would be removed and that I will receive a proof of payment. I have not received any thing at this point.,Company believes it acted appropriately as authorized by contract or law,ERC,MD,20747,,Consent provided,Web,6/9/2016,Closed with non-monetary relief,TRUE,FALSE,1961257
4/13/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Enhanced recovery placed a new collection account on my credit report. The original account was settled thrust XXXX on XXXX. XXXX telephone number is XXXX address XXXX XXXX XXXX XXXX Nebraska XXXX. Per my credit report the file states closed and paid with a, XXXX balance",Company believes it acted appropriately as authorized by contract or law,ERC,AL,35216,,Consent provided,Web,4/25/2015,Closed with non-monetary relief,TRUE,TRUE,1328450
2/3/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"On XX/XX/XXXX, I was notified by XXXX from my XXXX account that a collection debt was flagged. XXXX/XXXX and the collection agency they use XXXX XXXX XXXX XXXX ( ERC ) put a debt collection on my credit report and I never received a bill. This charge is from XX/XX/XXXX! I paid a previous balance in XX/XX/XXXX and the debt was paid. They also had my current address and current phone number which has not changed. I called XXXX/XXXX and have called the collection agency and complained about this. They are currently saying I owe a debt of XXXX which I do NOT. We have also learned the reason why I owe this is because when I paid for the service back in XX/XX/XXXX at one apartment and then had to move into another apartment 6 weeks later and transferred the service, they did not transfer the ENTIRE service! They have admitted the billing/ accounting error and have still demanded I pay the XXXX. After numerous complaints and numerous back and forth phone calls, a lady from their administration service has told me the bill is valid. After researching on this and I demanded them to send me a copy of the contract and paperwork, they have told me they can not produce it! So I am being told by these 2 ridiculous companies that I owe a debt of XXXX with no contract or paperwork and no previous bills ... When I paid the debts in XX/XX/XXXX, nothing was ever stated to me nor mailed. One more thing, both debts on my XXXX  credit report states PAID and CLOSED. So after reading this situation, please let me know if you can help me. Today during a conversation with XXXX/XXXX, they told me that the debt collection was through XXXX, the debt that was reported on my credit was through ERC. XXXX XXXX XXXX XXXX. I have also disputed this debt with XXXX, XXXX, and XXXX. I also have some screenshots saved and a few conversations recorded from XXXX/XXXX, and yes they were told they were being recorded. Thank you.",Company believes it acted appropriately as authorized by contract or law,ERC,TN,37110.0,,Consent provided,Web,2/8/2018,Closed with explanation,TRUE,,2802433
11/14/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,MI,48906,,,Phone,11/18/2014,Closed with non-monetary relief,TRUE,FALSE,1117028
8/6/2021,Debt collection,I do not know,Attempts to collect debt not owed,Debt was paid,,,ERC,NC,28314.0,,Consent not provided,Web,8/6/2021,Closed with explanation,TRUE,,4608526
7/10/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,ERC started to report on my credit file without send me a 30 day right to dispute .... I had already paid the XXXX debt prior to them reporting and by law they have to notify me with the 30 day right to dispute.,Company believes it acted appropriately as authorized by contract or law,ERC,UT,84121.0,,Consent provided,Web,7/10/2017,Closed with explanation,TRUE,,2570457
4/15/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Enhanced Recovery has XXXX filed a collection account against my credit reports for a bill to XXXX that I do not owe. The collection was originally placed last week. I verified with XXXX that the debt is not owed and Enhanced Recovery removed the collection. Today, Enhanced Recovery placed the collection back on my credit report.",,ERC,KS,66062,,Consent provided,Web,4/15/2015,Closed with non-monetary relief,TRUE,TRUE,1331937
3/15/2022,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,FL,33034.0,,Consent not provided,Web,3/15/2022,Closed with explanation,TRUE,,5323434
9/13/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,VA,22401.0,,,Web,9/13/2014,Closed with non-monetary relief,TRUE,FALSE,1027820
4/5/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,MD,21230,,Consent not provided,Web,4/5/2016,Closed with non-monetary relief,TRUE,FALSE,1864979
3/5/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,TX,79935,,,Web,3/13/2015,Closed with non-monetary relief,TRUE,TRUE,1270241
8/25/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"I had an unpaid debt to the creditor XXXX XXXX XXXX XXXX for XXXX XXXX on a Wi-FI hotspot. The company XXXX offered me a settlement of {$120.00} to pay off the debt. I accepted and paid {$120.00} in full, online, on XXXX. I have a statement from my bank reflecting this payment and a letter downloaded from the XXXX Web site which corroborates the debt was paid in full. I had no reason to believe otherwise. 

On XXXX I received a letter via USPS from Enhanced Recovery Company , LLC which stated that I STILL owed a debt to XXXX XXXX XXXX XXXX of {$120.00}. They offered a settlement of {$54.00} for this debt which I already settled through XXXX.",,ERC,PA,16507,Servicemember,Consent provided,Web,8/25/2015,Closed with non-monetary relief,TRUE,TRUE,1534786
7/7/2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,VA,22842,,Consent not provided,Web,8/9/2016,Closed with non-monetary relief,TRUE,FALSE,2002500
4/28/2022,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"This was a XXXX XXXX bill that I had in XXXX of XXXX. I was billed for this account in XX/XX/XXXX as well and was making monthly payments to keep the bill from going to collections. I continuously paid this bill up until XX/XX/XXXX and that was the last payment I made before XXXX sent this XXXX bill to a collections company called ERC for no reason because a payment was being made faithfully within 30 days each month. ERC is fraudulently reporting the bill started with them XX/XX/XXXX on my XXXX credit report. This is false, the last activity on this XXXX account was XX/XX/XXXX and verified with the original debtor XXXX. They also repeatedly call two to four times per day and I have had to block every number they call from!!!!!!",,ERC,FL,32222.0,Servicemember,Consent provided,Web,4/28/2022,Closed with explanation,TRUE,,5512405
2/10/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,CA,94404,,Consent not provided,Web,2/10/2017,Closed,TRUE,FALSE,2337938
12/29/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"I received a letter from ERC for a settlement amount on a previous debt. I paid the settlement amount in full and by the requested due date. Then a few weeks later, I received another letter requesting additional amount. I am not sure why the amount of this debt continues to change.",Company believes it acted appropriately as authorized by contract or law,ERC,MA,1876.0,,Consent provided,Web,12/29/2017,Closed with explanation,TRUE,,2767595
12/15/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,ERC,FL,34205,,,Web,12/15/2014,Closed with non-monetary relief,TRUE,TRUE,1156084
11/10/2022,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"I reached out to XXXX on XX/XX/XXXX to inquire about removing an old account from my credit profile. After speaking with the representative via chat, and advising they had this account with a balance due to equipment they failed to accept when I attempted to return. The representative advised they could credit my account for the equipment and would remove from collections. I was advised to wait XXXX weeks. On XX/XX/XXXX, I chatted with another representative to confirm account status. During that chat I specifically asked if they were pulling the credit account from Enhanced Recovery Collections, that representative advised yes and to continue to wait the time period provided. After the XXXX weeks advised passed, I reached out to Enhanced Recovery Collections to inquire if they received notification to remove from my credit profile, they did not have any note on file from XXXX. This interaction occurred on XX/XX/XXXX. After call with collection agency, I went back to chat with XXXX during this conversation he advised no note was placed on my account, and agent was not able to locate information and advised they could not assist. We had the same issue with my husband on they pulled his account from the same collection agency within a week. I have attached copies of chat transcripts and chat IDs to this case along with proof, with approval from my spouse, a copy of his report showing they do in-fact delete from the credit profile.",,ERC,WI,54229.0,,Consent provided,Web,11/10/2022,Closed with explanation,TRUE,,6183628
3/18/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,,,,,Phone,3/19/2020,Closed with explanation,TRUE,,3571252
5/1/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,MI,49418,,Consent not provided,Web,5/3/2017,Closed with explanation,TRUE,,2473041
5/16/2019,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,I owed XXXX a cell phone bill for {$540.00}. I paid the collection agency Enhanced Recovery Co LLC in XXXX FL. I paid the debt in full before the due dates for payment. I was told that with in 30 days they will update as paid in full to the credit reporting agencies. As of the date of this complaint they have yet again verified the debt and are not showing it as paid in full. After I yet again disputed the debt on XX/XX/2019. This debt has been paid in full since XXXX XXXX a full 90 days from the time I paid and they are still validating the debt. I called and asked them to stop validating as it goes against debt collection practices. They only want to argue and refused to remedy the problems. I can submit bank records to prove the debt was indeed paid. As you see on both bank statements ERC from Florida is the collection agency I paid off.,Company believes it acted appropriately as authorized by contract or law,ERC,NV,89509.0,,Consent provided,Web,5/16/2019,Closed with explanation,TRUE,,3243907
2/27/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,FL,33063,,,Web,3/6/2015,Closed with non-monetary relief,TRUE,TRUE,1260305
6/23/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,GA,30096.0,,Consent not provided,Web,6/23/2020,Closed with explanation,TRUE,,3711877
6/27/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"Collection agencies transferring a debt I do not owe and ruining my credit. Their original client XXXX XXXX fraudulently extended a contract after the person had moved to other citty and had returned the equipment. The fees were paid automatically thru a credit card and it was stopped when the person ( my aunt ) due to severe illness was moved from XXXX XXXX to XXXX and later passed away. 

I have extensive correspondence with the collection agency and the credit bureaus but since the deb was transfer to one and another my credit is being impaired. 

I will be glad to supply all the correspondence sustained with all concerned. And like I asked the collection agencies, lets take it to a court of equity and let a judge decide. I think this is the way we settle conflicting matters. In this case I ask for your help to protect my cretit",,ERC,FL,33178.0,,Consent provided,Web,6/27/2020,Closed with explanation,TRUE,,3718634
7/10/2020,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was paid,"I made a settlement with enhanced recovery company and the issue was resolve, I was told that they would remove it off my credit file but not only am I still receiving calls stating I owe but it has not been removed of any of my files",,ERC,FL,33025.0,,Consent provided,Web,7/10/2020,Closed with non-monetary relief,TRUE,,3739449
10/30/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,I have an account that was opened with XXXX on XXXX. I called a representative of diversified consultant on XXXX XXXX to settle this account. The representative that was a man guaranteed me if i settled the account out that he would delete the account from my credit. I payed the account and was sent a letter. After discovering this account was still on my credit report not once but twice from two different companies. I called back to the company and they told me to call the other company because they held the account and they stated they would delete the account once again. When i called the other company they stated they held the account. I have called over and over and this account is not handle and is on my account twice affecting my credit in a bad way. I was promised a deletion but nothing was ever done.,Company believes it acted appropriately as authorized by contract or law,ERC,PA,17111.0,,Consent provided,Web,10/30/2017,Closed with explanation,TRUE,,2716109
1/16/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"I had XXXX service bundled with XXXX phone service. When I canceled my account with XXXX they said I owed {$38.00} still for XXXX portion. I initially disputed this as I had paid my XXXX bill separately. XXXX said matter was resolved. 

Many months later, I received harassing phone calls and letters from XXXX XXXX XXXX regarding this supposed debt. In order to get rid of them, I paid {$38.00} to XXXX XXXX XXXX again, and was told that matter was finally resolved. 

Recently, I have been receiving harassing phone calls from ERC regarding this same 'debt ' that I have already paid twice. 

XXXX is harassing me and trying to extort money from me for a debt that has been paid twice. XXXX and ERC are threatening my credit unless I pay them this {$38.00} again. This is harassment and extortion and I want XXXX and their practices investigated. Even after I pay the collection agency of the month, XXXX finds another willing partner to attempt to extort money already paid. Please help.",Company believes it acted appropriately as authorized by contract or law,ERC,PA,18104,,Consent provided,Web,2/9/2016,Closed with non-monetary relief,TRUE,FALSE,1746304
12/2/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,"The dispute is with XXXX XXXX XXXX XXXX. I cancelled service with them in 2013 ; the account was paid in full at the time of cancellation. The XXXX technician came to my home, disconnected service and retrieved the equipment. Since then I have been harassed by them with collection calls and have had my non-existent account sent to XXXX collection agencies. I have copies of the communication which I will attach. In a nutshell, I am still being pursued by various collection agencies for this debt.",Company believes it acted appropriately as authorized by contract or law,ERC,CA,94513,Servicemember,Consent provided,Web,12/3/2015,Closed with non-monetary relief,TRUE,FALSE,1680009
6/29/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,FL,32746.0,,Consent not provided,Web,6/29/2020,Closed with explanation,TRUE,,3720737
8/12/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,78414,Servicemember,Consent not provided,Web,8/16/2016,Closed with non-monetary relief,TRUE,FALSE,2061807
7/26/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,AZ,85201.0,Servicemember,Consent not provided,Web,7/26/2020,Closed with explanation,TRUE,,3764606
4/12/2017,Credit reporting,,Incorrect information on credit report,Account status,,Company believes complaint is the result of an isolated error,ERC,FL,33907,,,Postal mail,4/13/2017,Closed with non-monetary relief,TRUE,FALSE,2431271
11/2/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,IN,46234,Older American,,Web,11/2/2014,Closed with non-monetary relief,TRUE,FALSE,1097665
11/24/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,MO,63104,,,Web,11/24/2013,Closed with non-monetary relief,TRUE,TRUE,609661
